-3.00000          -3.00000           0.00007
-2.90000          -3.00000           0.00011
-2.80000          -3.00000           0.00018
-2.70000          -3.00000           0.00029
-2.60000          -3.00000           0.00044
-2.50000          -3.00000           0.00067
-2.40000          -3.00000           0.00099
-2.30000          -3.00000           0.00141
-2.20000          -3.00000           0.00195
-2.10000          -3.00000           0.00260
-2.00000          -3.00000           0.00335
-1.90000          -3.00000           0.00412
-1.80000          -3.00000           0.00480
-1.70000          -3.00000           0.00521
-1.60000          -3.00000           0.00509
-1.50000          -3.00000           0.00409
-1.40000          -3.00000           0.00181
-1.30000          -3.00000          -0.00225
-1.20000          -3.00000          -0.00860
-1.10000          -3.00000          -0.01770
-1.00000          -3.00000          -0.02995
-0.90000          -3.00000          -0.04559
-0.80000          -3.00000          -0.06460
-0.70000          -3.00000          -0.08670
-0.60000          -3.00000          -0.11127
-0.50000          -3.00000          -0.13739
-0.40000          -3.00000          -0.16384
-0.30000          -3.00000          -0.18925
-0.20000          -3.00000          -0.21213
-0.10000          -3.00000          -0.23111
0.00000          -3.00000          -0.24498
0.10000          -3.00000          -0.25290
0.20000          -3.00000          -0.25441
0.30000          -3.00000          -0.24953
0.40000          -3.00000          -0.23872
0.50000          -3.00000          -0.22284
0.60000          -3.00000          -0.20302
0.70000          -3.00000          -0.18054
0.80000          -3.00000          -0.15674
0.90000          -3.00000          -0.13286
1.00000          -3.00000          -0.10996
1.10000          -3.00000          -0.08885
1.20000          -3.00000          -0.07010
1.30000          -3.00000          -0.05398
1.40000          -3.00000          -0.04058
1.50000          -3.00000          -0.02976
1.60000          -3.00000          -0.02129
1.70000          -3.00000          -0.01486
1.80000          -3.00000          -0.01010
1.90000          -3.00000          -0.00669
2.00000          -3.00000          -0.00431
2.10000          -3.00000          -0.00270
2.20000          -3.00000          -0.00165
2.30000          -3.00000          -0.00097
2.40000          -3.00000          -0.00055
2.50000          -3.00000          -0.00030
2.60000          -3.00000          -0.00016
2.70000          -3.00000          -0.00008
2.80000          -3.00000          -0.00004
2.90000          -3.00000          -0.00002
3.00000          -3.00000          -0.00001
-3.00000          -2.90000           0.00009
-2.90000          -2.90000           0.00016
-2.80000          -2.90000           0.00025
-2.70000          -2.90000           0.00041
-2.60000          -2.90000           0.00063
-2.50000          -2.90000           0.00095
-2.40000          -2.90000           0.00139
-2.30000          -2.90000           0.00198
-2.20000          -2.90000           0.00273
-2.10000          -2.90000           0.00362
-2.00000          -2.90000           0.00462
-1.90000          -2.90000           0.00562
-1.80000          -2.90000           0.00644
-1.70000          -2.90000           0.00680
